id,obj,area,area%
1,Open and woody-based herb communities on the limestone plateau,31395.2597646638,1
2,Croton shrubland on the coastal plains,31395.2597646638,1
3,Open and woody-based herb communities on the limestone plateau,31395.2597646638,1
4,Croton shrubland on the coastal plains,31395.2597646638,1
5,Montane mosaic of shrubland woodland and grassland in the granite mountains,31395.2597646638,1
6,Croton shrubland on the coastal plains,31395.2597646638,1
7,Croton shrubland on the coastal plains,31395.2597646638,1
8,Croton shrubland on the coastal plains,31395.2597646638,1
9,Succlent shrubland on limestone cliffs and slopes,31395.2597646638,1
10,Succlent shrubland on limestone cliffs and slopes,4430.52486052156,0.141120821860765
10,Croton shrubland on the coastal plains,26964.7349041466,0.858879178139371
11,Submontane shrubland on the slopes and cliffs of the granite mountains,31203.7759539755,0.993900868725925
11,Croton shrubland on the coastal plains,191.483810610545,0.00609913127159612
12,Croton shrubland on the coastal plains,31395.2597646638,1
13,Succlent shrubland on limestone cliffs and slopes,31395.2597646638,1
14,Submontane shrubland on the slopes and cliffs of the granite mountains,31395.2597646638,1
15,Succlent shrubland on limestone cliffs and slopes,31395.2597646638,1
16,Open and woody-based herb communities on the limestone plateau,31395.2597646638,1
17,Croton shrubland on the coastal plains,31395.2597646638,1
18,Open and woody-based herb communities on the limestone plateau,31395.2597646638,1
19,Semi-evergreen woodland on limestone escarpments and sheltered ravines,27905.6008142728,0.888847584745302
19,Submontane shrubland on the slopes and cliffs of the granite mountains,1506.85594198216,0.0479962883975933
19,Succlent shrubland on limestone cliffs and slopes,1982.80300844917,0.0631561268583885
20,Open and woody-based herb communities on the limestone plateau,31395.2597646638,1
21,Croton shrubland on the coastal plains,31395.2597646638,1
22,Croton shrubland on the coastal plains,31395.2597646638,1
23,Succlent shrubland on limestone cliffs and slopes,31395.2597646638,1
24,Open and woody-based herb communities on the limestone plateau,31395.2597646638,1
25,Croton shrubland on the coastal plains,31395.2597646638,1
26,Submontane shrubland on the slopes and cliffs of the granite mountains,31395.2597646638,1
27,Succlent shrubland on limestone cliffs and slopes,31395.2597646638,1
28,Semi-evergreen woodland on limestone escarpments and sheltered ravines,17557.2911076399,0.55923382189693
28,Succlent shrubland on limestone cliffs and slopes,13837.9686570732,0.440766178104637
29,Submontane shrubland on the slopes and cliffs of the granite mountains,31395.2597646638,1
30,Semi-evergreen woodland on limestone escarpments and sheltered ravines,31395.2597646638,1
31,Succlent shrubland on limestone cliffs and slopes,31395.2597646638,1
32,Croton shrubland on the coastal plains,31395.2597646638,1
33,Open and woody-based herb communities on the limestone plateau,31395.2597646638,1
34,Succlent shrubland on limestone cliffs and slopes,31395.2597646638,1
35,Semi-evergreen woodland on limestone escarpments and sheltered ravines,31395.2597646638,1
36,Croton shrubland on the coastal plains,31395.2597646638,1
37,Croton shrubland on the coastal plains,31395.2597646638,1
